"Periode","Nomor","Jumlah Penumpang KAI Jawa"
"Januari 2011","1","16446"
"Februari 2011","2","14519"
"Maret 2011","3","16584"
"Apr-11","4","16031"
"Mei 2011","5","17018"
"Juni 2011","6","16806"
"Juli 2011","7","17632"
"Agustus 2011","8","14492"
"Sep-11","9","16353"
"Oktober 2011","10","16062"
"Nov-11","11","15765"
"Desember 2011","12","16333"
"Januari 2012","13","15801"
"Februari 2012","14","15126"
"Maret 2012","15","16701"
"Apr-12","16","16376"
"Mei 2012","17","17401"
"Juni 2012","18","17687"
"Juli 2012","19","17956"
"Agustus 2012","20","16675"
"Sep-12","21","16063"
"Oktober 2012","22","16828"
"Nov-12","23","15436"
"Desember 2012","24","15745"
"Januari 2013","25","14573"
"Februari 2013","26","14315"
"Maret 2013","27","15521"
"Apr-13","28","15724"
"Mei 2013","29","15795"
"Juni 2013","30","16932"
"Juli 2013","31","19917"
"Agustus 2013","32","19031"
"Sep-13","33","19439"
"Oktober 2013","34","20198"
"Nov-13","35","19578"
"Desember 2013","36","20992"
"Januari 2014","37","20698"
"Februari 2014","38","19628"
"Maret 2014","39","22427"
"Apr-14","40","21502"
"Mei 2014","41","22547"
"Juni 2014","42","23415"
"Juli 2014","43","22125"
"Agustus 2014","44","22763"
"Sep-14","45","23219"
"Oktober 2014","46","24503"
"Nov-14","47","23986"
"Desember 2014","48","25791"
"Januari 2015","49","24254"
"Februari 2015","50","22394"
"Maret 2015","51","26841"
"Apr-15","52","26150"
"Mei 2015","53","27450"
"Juni 2015","54","27118"
"Juli 2015","55","27077"
"Agustus 2015","56","27351"
"Sep-15","57","27125"
"Oktober 2015","58","28280"
"Nov-15","59","27253"
"Desember 2015","60","29328"
"Januari 2016","61","27886"
"Februari 2016","62","26058"
"Maret 2016","63","28156"
"Apr-16","64","28000"
"Mei 2016","65","30176"
"Juni 2016","66","28730"
"Juli 2016","67","28216"
"Agustus 2016","68","29125"
"Sep-16","69","29019"
"Oktober 2016","70","29765"
"Nov-16","71","29178"
"Desember 2016","72","31530"
"Januari 2017","73","30359"
"Februari 2017","74","26837"
"Maret 2017","75","31612"
"Apr-17","76","30934"
"Mei 2017","77","33157"
"Juni 2017","78","30181"
"Juli 2017","79","33669"
"Agustus 2017","80","33255"
"Sep-17","81","31921"
"Oktober 2017","82","34498"
"Nov-17","83","33798"
"Desember 2017","84","36140"
"Januari 2018","85","34107"
"Februari 2018","86","30721"
"Maret 2018","87","35272"
"Apr-18","88","35135"
"Mei 2018","89","34877"
"Juni 2018","90","32270"
"Juli 2018","91","36089"
"Agustus 2018","92","34560"
"Sep-18","93","33878"
"Oktober 2018","94","35602"
"Nov-18","95","34637"
"Desember 2018","96","37197"
"Januari 2019","97","34435"
"Februari 2019","98","31282"
"Maret 2019","99","35068"
"Apr-19","100","35106"
"Mei 2019","101","34514"
"Juni 2019","102","34261"
"Juli 2019","103","38303"
"Agustus 2019","104","34542"
"Sep-19","105","34615"
"Oktober 2019","106","35814"
"Nov-19","107","35228"
"Desember 2019","108","36710"
"Januari 2020","109","33472"
"Februari 2020","110","31679"
"Maret 2020","111","22949"
"Apr-20","112","5813"
"Mei 2020","113","5476"
"Juni 2020","114","9272"
"Juli 2020","115","12205"
"Agustus 2020","116","12679"
"Sep-20","117","11295"
"Oktober 2020","118","11768"
"Nov-20","119","13523"
"Desember 2020","120","13262"
"Januari 2021","121","11631"
"Februari 2021","122","11223"
"Maret 2021","123","13995"
"Apr-21","124","14590"
"Mei 2021","125","14627"
"Juni 2021","126","14313"
"Juli 2021","127","5646"
"Agustus 2021","128","6479"
"Sep-21","129","9510"
"Oktober 2021","130","13139"
"Nov-21","131","15161"
"Desember 2021","132","17207"
"Januari 2022","133","17499"
"Februari 2022","134","12857"
"Maret 2022","135","19133"
"Apr-22","136","19436"
"Mei 2022","137","23114"
"Juni 2022","138","23160"
"Juli 2022","139","25272"
"Agustus 2022","140","23920"
"Sep-22","141","25167"
"Oktober 2022","142","27143"
"Nov-22","143","26473"
"Desember 2022","144","29245"
