periode;tinggi_air
1;1900
2;1870
3;1750
4;1390
5;1850
6;1760
7;2010
8;1880
9;1680
10;1560
11;1650
12;1580
13;1660
14;1740
15;1810
16;1960
17;2020
18;2070
19;2000
20;2030
21;1990
22;1980
23;1840
24;1800
25;1890
26;1790
27;1820
28;1800
29;1770
30;1960
31;1970
32;1990
33;2020
34;2040
35;2020
36;1990
37;1940
38;1790
39;1770
40;1490
41;1660
42;1360
43;2000
44;1890
45;1830
46;1920
47;1930
48;1820
49;1960
50;1630
51;1700
52;1780
53;1760
54;1800
55;1890
56;2020
57;1990
58;1930
59;1890
60;1910
61;1820
62;1750
63;1600
64;1760
65;1370
66;1350
67;1380
68;1350
69;1350
70;1400
71;1440
72;1560
73;1660
74;1760
75;1860
76;1850
77;1760
78;1810
79;1770
80;1700
81;1780
82;1760
83;1870
84;1890
85;1980
86;1980
87;2040
88;1980
89;1940
90;1830
91;1680
92;1660
93;1430
94;1780
95;1760
96;1820
97;1980
98;2020
99;2050
100;1960
101;1930
102;1840
103;1680
104;1610
105;1710
106;2040
107;1720
108;2280
109;2020
110;2110
111;2090
112;2110
113;1970
114;1970
115;1870
116;1780
117;1790
118;1650
119;1660
120;1590
121;1720
122;1730
123;1520
124;1910
125;2150
126;2040
127;2150
128;2190
129;1990
130;1870
131;1820
132;1860
133;1760
134;2040
135;1860
136;1920
137;2050
138;2310
139;1980
140;1950
141;1900
142;1790
143;1810
144;1820
145;1790
146;1750
147;1880
148;1720
149;1870
150;1930
151;1920
152;1910
153;1950
154;1960
155;1980
156;1930
157;1770
158;1790
159;1600
160;1730
161;1560
162;1740
163;1850
164;1960
165;1810
166;2000
167;1980
168;1910
169;1870
170;1810
171;1820
172;1990
173;1730
174;1640
175;1660
176;1660
177;1570
178;1920
179;1640
180;1760
181;1800
182;1840
183;1920
184;1830
185;1830
186;1680
187;1540
188;1430
189;1210
190;1250
191;1290
192;1490
193;1580
194;1650
195;1620
196;1800
197;1700
198;1740
199;1650
200;1690
201;1520
202;1620
203;1410
204;1520
205;1380
206;1410
207;1500
208;1500
209;1620
210;1750
211;1830
212;1840
213;1730
214;1750
215;1660
216;1510
217;1390
218;1380
219;1480
220;1540
221;1610
222;1590
223;1670
224;1690
225;1760
226;1720
227;1750
228;1740
229;1910
230;1690
231;1590
232;1510
233;1470
234;1420
235;1440
236;1460
237;1480
238;1640
239;1640
240;1730
241;1830
242;1560
243;1400
244;1350
245;1320
246;1370
247;1340
248;1480
249;1480
250;1600
251;1680
252;1750
253;1780
254;1700
255;1860
256;1690
257;1850
258;1700
259;1570
260;1660
261;1600
262;1570
263;1590
264;1710
265;1640
266;1600
267;1730
268;2310
269;1800
270;1640
271;1600
272;1640
273;1630
274;1650
275;1650
276;1670
277;1620
278;1660
279;1840
280;1930
281;1710
282;1810
283;1710
284;1710
285;1670
286;1720
287;1750
288;1630
289;1670
290;1730
291;1760
292;1770
293;1720
294;1740
295;1670
296;1740
297;1760
298;1760
299;1740
300;1710
301;1700
302;1660
303;1760
304;1710
305;1960
306;1760
307;1620
308;1750
309;1790
310;1610
311;1670
312;1630
313;1740
314;1640
315;1800
316;1870
317;1790
318;1880
319;1870
320;1770
321;1630
322;1600
323;1610
324;1790
325;1890
326;1800
327;1820
328;1850
329;1860
330;1930
331;1840
332;1820
333;1870
334;1870
